circle,monument_name,domestic_2019_20,foreign_2019_20,domestic_2020_21,foreign_2020_21,domestic_growth_pct,foreign_growth_pct,total_visitors_2019_20,total_visitors_2020_21,total_growth_pct,monument_hiddenness_score,visitor_data_quality,hiddenness_rank
Delhi,Sultanghari Tomb,530,6,22969,233,4233.77,3783.33,536,23202,4228.731343283583,100.0,available,1
Kolkata,Metcelf-Hall,605,27,7818,24,1192.23,-11.11,632,7842,1140.8227848101267,98.55,available,2
Jhansi,"Gupta Temple & Varah Temple, Deogarh",1348,32,931,0,-30.93,-100.0,1380,931,-32.53623188405797,91.69,available,3
Nagpur,"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",1596,65,8,0,-99.5,-100.0,1661,8,-99.51836243226971,90.06,available,4
Delhi,Khan-I-Khana,1782,45,3002,10,68.46,-77.78,1827,3012,64.86042692939245,89.22,available,5
Srinagar,"Group of Temples at kiramchi, District Udhampur",5731,4,5816,0,1.48,-100.0,5735,5816,1.4123801220575414,79.16,available,6
Rajkot,"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",5858,142,1691,1,-71.13,-99.3,6000,1692,-71.8,78.76,available,7
Rajkot,"Asokan Rock Edict, Jungadh",6176,168,10498,16,69.98,-90.48,6344,10514,65.73139974779319,78.27,available,8
Srinagar,"Palace Complex at Ramnagar, Distt. Udhampur",6610,0,2129,0,-67.79,,6610,2129,-67.7912254160363,77.91,available,9
Sarnath,Tomb of Lal Khan,6819,9,1972,2,-71.08,-77.78,6828,1974,-71.0896309314587,77.63,available,10
Amaravati,Amaravati mahastupa,8038,285,1864,0,-76.81,-100.0,8323,1864,-77.6042292442629,75.89,available,11
Srinagar,"Avantiswamin Temple, Avantipur, District Pulwama",9939,32,5706,8,-42.59,-75.0,9971,5714,-42.69381205495939,74.3,available,12
Dharwad,"Temples & Sculpture Shed, lakkumdi",13019,91,5652,0,-56.59,-100.0,13110,5652,-56.88787185354691,71.89,available,13
Bhopal,"Badal Mahal Gatwway, Chanderi",13708,89,9689,5,-29.32,-94.38,13797,9694,-29.738348916431107,71.44,available,14
Jhansi,Rani Lakshmi Bai Mahal,15954,50,5712,5,-64.2,-90.0,16004,5717,-64.27768057985503,70.13,available,15
Bhubaneswar,Rajarani Temple,16916,506,8237,3,-51.31,-99.41,17422,8240,-52.70347836069338,69.39,available,16
Sarnath,Lord Cornwallis Tomb,18318,85,5289,9,-71.13,-89.41,18403,5298,-71.21121556268,68.9,available,17
Tiruchirappalli,"Moovarkoil, Kodumbalur",19114,46,1476,9,-92.28,-80.43,19160,1485,-92.24947807933194,68.55,available,18
Rajkot,"Buddhish Caves, Junagadh",18755,796,58,0,-99.69,-100.0,19551,58,-99.70333998260958,68.37,available,19
Amaravati,Nagarjuna Kunda,19762,35,0,0,,,19797,0,-100.0,68.26,available,20
Bhopal,Buddhist Caves,19920,42,23692,0,18.94,-100.0,19962,23692,18.68550245466386,68.19,available,21
Guwahati,Bishnudol,21062,118,2921,0,-86.13,-100.0,21180,2921,-86.20868744098206,67.67,available,22
Amaravati,"Buddhist Remains on hill top at Guntupalli, W.G.District",22353,85,10219,10,-54.28,-88.24,22438,10229,-54.41215794634103,67.16,available,23
Agra,Mariam tomb Sikandra,22517,414,9765,31,-56.63,-92.51,22931,9796,-57.28053726396581,66.97,available,24
Guwahati,"Group of four MaidansCharaideo, Sibasagar",23111,141,19866,72,-14.04,-48.94,23252,19938,-14.252537416136246,66.85,available,25
Jabalpur,"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",23354,18,16546,8,-29.15,-55.56,23372,16554,-29.171658394660277,66.8,available,26
Bhopal,Bir Singh Palace Datia,23382,736,14045,12,-39.93,-98.37,24118,14057,-41.7157309893026,66.53,available,27
Tiruchirappalli,"Natural Caven with inscription eladipattam, Sittannavasal",23928,645,2490,19,-89.59,-97.05,24573,2509,-89.78960647865544,66.36,available,28
Tiruchirappalli,"Fort on Rock, Dindigual",24657,94,25603,99,3.84,5.32,24751,25702,3.8422689992323544,66.3,available,29
Hampi,Bellary Fort,28723,56,11069,9,-61.46,-83.93,28779,11078,-61.50665415754544,64.97,available,30
Jaipur,Deeg Bhawan,28510,1067,12772,30,-55.2,-97.19,29577,12802,-56.71636744767894,64.73,available,31
Tiruchirappalli,Tirumalai Nayak's Palace Srivilliputhur,30046,460,217,3,-99.28,-99.35,30506,220,-99.27883039402084,64.46,available,32
