location,level,year,domestic_visits,foreign_visits,total_visits,tourism_popularity_score,tourism_hiddenness_score,heritage_significance_score,hidden_heritage_score,score_status
Ghazipur,district_up,2023,79929,0,79929,0.0,100.0,,,Prototype: tourism hiddenness only; UNESCO mapping required
Arunachal Pradesh,state_ut,2021,102915,182,103097,3.5597040479010764,96.44,,,Prototype: tourism hiddenness only; UNESCO mapping required
Chandauli,district_up,2023,112002,2459,114461,5.022065313743498,94.98,,,Prototype: tourism hiddenness only; UNESCO mapping required
Andaman and Nicobar Islands,state_ut,2021,126238,1687,127925,6.577376580077818,93.42,,,Prototype: tourism hiddenness only; UNESCO mapping required
Dadra and Nagar Haveli,state_ut,2021,197802,80,197882,12.678173869028155,87.32,,,Prototype: tourism hiddenness only; UNESCO mapping required
Jaunpur,district_up,2023,217128,35,217163,13.978499249885296,86.02,,,Prototype: tourism hiddenness only; UNESCO mapping required
Chandigarh,state_ut,2021,228809,5451,234260,15.038360816018,84.96,,,Prototype: tourism hiddenness only; UNESCO mapping required
Firozabad,district_up,2023,444850,0,444850,24.0072918598311,75.99,,,Prototype: tourism hiddenness only; UNESCO mapping required
Daman and Diu,state_ut,2021,463420,105,463525,24.582417510792588,75.42,,,Prototype: tourism hiddenness only; UNESCO mapping required
Assam,state_ut,2021,1409161,536,1409697,40.138012344385764,59.86,,,Prototype: tourism hiddenness only; UNESCO mapping required
Bihar,state_ut,2021,2501193,1046,2502239,48.16302650520106,51.84,,,Prototype: tourism hiddenness only; UNESCO mapping required
Sonbhadra,district_up,2023,3492814,0,3492814,52.82748380176613,47.17,,,Prototype: tourism hiddenness only; UNESCO mapping required
Sant Ravidas Nagar (Bhadohi),district_up,2023,3657599,0,3657599,53.472202683074485,46.53,,,Prototype: tourism hiddenness only; UNESCO mapping required
Chhattisgarh,state_ut,2021,4747417,8,4747425,57.11954865387341,42.88,,,Prototype: tourism hiddenness only; UNESCO mapping required
Aligarh,district_up,2023,5704000,0,5704000,59.68679538581657,40.31,,,Prototype: tourism hiddenness only; UNESCO mapping required
Delhi,state_ut,2021,10642477,100178,10742655,68.54036005949983,31.46,,,Prototype: tourism hiddenness only; UNESCO mapping required
Agra,district_up,2023,11138316,970901,12109217,70.21504487599707,29.78,,,Prototype: tourism hiddenness only; UNESCO mapping required
Mirzapur,district_up,2023,19976136,0,19976136,77.21577156525545,22.78,,,Prototype: tourism hiddenness only; UNESCO mapping required
Andhra Pradesh,state_ut,2021,93277569,27551,93305120,98.7720879968815,1.23,,,Prototype: tourism hiddenness only; UNESCO mapping required
Varanasi,district_up,2023,101647159,220459,101867618,100.0,0.0,,,Prototype: tourism hiddenness only; UNESCO mapping required
