Sl_No,State_UT,2019_DTVs,2019_FTVs,2020_DTVs,2020_FTVs,2021_DTVs,2021_FTVs
1,Andaman and Nicobar Islands,505398,16206,191207,5412,126238,1687
2,Andhra Pradesh,237051508,280356,70828590,67591,93277569,27551
3,Arunachal Pradesh,555639,7825,42871,961,102915,182
4,Assam,5447805,26878,1266898,7285,1409161,536
5,Bihar,33990038,1093141,5638024,308080,2501193,1046
6,Chandigarh,1563795,44132,417953,12218,228809,5451
7,Chhattisgarh,17304506,6817,2810227,2322,4747417,8
8,Dadra and Nagar Haveli,618330,1666,104959,222,197802,80
9,Daman and Diu,897804,5703,297436,1382,463420,105
10,Delhi,36467598,2983436,9583671,681230,10642477,100178
