destination_id,destination_name,senior_friendly,wheelchair_accessible,walking_difficulty,stairs_present,accessible_toilets,seating_available,parking_available,accessible_transport,accessibility_notes,accessibility_source,accessibility_source_url,accessibility_year,accessibility_confidence
BV-ASI-0001,Aga  Khan Palace Building,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0002,Agra Fort,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0003,Ahom Raja's Palace,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0004,Ajanta Caves,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0005,Akbar Tomb Sikandra,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0006,Amaravati mahastupa,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0007,"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0008,Ancient Buddhist Site known as Chaukhandi stupa,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0009,Ancient Palace Leh,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0010,Ancient Remains on both Udaigiri & Khandagiri Hills,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0011,"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0012,Ancient Site Bhangarh,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0013,"Ancient site of Vaishali, Kolhua",NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0014,Ancient Site of Vikramshila Antichak,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0015,"Asokan Rock Edict, Jungadh",NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0016,Aurangabad Caves,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0017,"Avantiswamin Temple, Avantipur, District Pulwama",NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0018,"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0019,"Badal Mahal Gatwway, Chanderi",NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0020,Baori at Abhaneri,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0021,"Bekal Fort, Pallikkare, Distt. Kasargod",NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0022,Bellary Fort,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
BV-ASI-0023,Bir Singh Palace Datia,NULL,NULL,Not Available,NULL,NULL,NULL,NULL,NULL,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE
