destination_id,destination_name,source_file,source,source_url,source_year,source_type,authority_tier,official_status,fields_supported,extraction_method,provenance_notes
BV-ASI-0001,Aga  Khan Palace Building,CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,Exact normalized name match on PDF page 61,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0001,Aga  Khan Palace Building,asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0001,Aga  Khan Palace Building,bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0002,Agra Fort,CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,Exact normalized name match on PDF page 108,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0002,Agra Fort,asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0002,Agra Fort,bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0003,Ahom Raja's Palace,CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,No exact normalized name match,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0003,Ahom Raja's Palace,asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0003,Ahom Raja's Palace,bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0004,Ajanta Caves,CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,Exact normalized name match on PDF page 58,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0004,Ajanta Caves,asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0004,Ajanta Caves,bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0005,Akbar Tomb Sikandra,CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,No exact normalized name match,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0005,Akbar Tomb Sikandra,asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0005,Akbar Tomb Sikandra,bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0006,Amaravati mahastupa,CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,No exact normalized name match,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0006,Amaravati mahastupa,asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0006,Amaravati mahastupa,bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0007,"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,No exact normalized name match,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0007,"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0007,"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0008,Ancient Buddhist Site known as Chaukhandi stupa,CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,Exact normalized name match on PDF page 134,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0008,Ancient Buddhist Site known as Chaukhandi stupa,asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0008,Ancient Buddhist Site known as Chaukhandi stupa,bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0009,Ancient Palace Leh,CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,No exact normalized name match,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0009,Ancient Palace Leh,asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0009,Ancient Palace Leh,bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0010,Ancient Remains on both Udaigiri & Khandagiri Hills,CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,No exact normalized name match,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0010,Ancient Remains on both Udaigiri & Khandagiri Hills,asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0010,Ancient Remains on both Udaigiri & Khandagiri Hills,bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0011,"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,No exact normalized name match,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
BV-ASI-0011,"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",asi_monuments_clean.csv,Processed ASI monument visitor table,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,domestic_visitors; international_visitors; visitor_count; circle; 2019-20 and 2020-21 visitor measures,Exact normalized destination-name join,File has no source or URL field; 'ASI' in filename alone is not proof of official provenance.
BV-ASI-0011,"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",bharatverse_monuments.csv,BharatVerse processed monument enrichment,Not Available,Not Available,Processed CSV,Not Available,UNVERIFIED,city; state; latitude; longitude; heritage_category; tourism_popularity,Exact normalized destination-name join,Coordinates and categories are retained as supplied but need independent source verification.
BV-ASI-0012,Ancient Site Bhangarh,CPM List 2024_(3698).pdf,Archaeological Survey of India - Centrally Protected Monuments/Sites list,Not Available,2024,Official government PDF,3,OFFICIAL,destination_type; official-list presence,Exact normalized name match on PDF page 86,PDF metadata creation date is 2025-04-08; source filename/title says 2024.
