destination_id,destination_name,women_safety_score,police_support,medical_support,emergency_support,transport_availability,network_availability,lighting,safe_stay,sanitary_facilities,women_specific_facilities,safety_notes,safety_source,safety_source_url,safety_year,safety_data_type,safety_confidence
BV-ASI-0001,Aga  Khan Palace Building,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0002,Agra Fort,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0003,Ahom Raja's Palace,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0004,Ajanta Caves,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0005,Akbar Tomb Sikandra,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0006,Amaravati mahastupa,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0007,"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0008,Ancient Buddhist Site known as Chaukhandi stupa,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0009,Ancient Palace Leh,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0010,Ancient Remains on both Udaigiri & Khandagiri Hills,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0011,"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0012,Ancient Site Bhangarh,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0013,"Ancient site of Vaishali, Kolhua",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0014,Ancient Site of Vikramshila Antichak,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0015,"Asokan Rock Edict, Jungadh",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0016,Aurangabad Caves,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0017,"Avantiswamin Temple, Avantipur, District Pulwama",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0018,"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0019,"Badal Mahal Gatwway, Chanderi",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0020,Baori at Abhaneri,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0021,"Bekal Fort, Pallikkare, Distt. Kasargod",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0022,Bellary Fort,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0023,Bir Singh Palace Datia,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0024,Bishnudol,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0025,Bishnupur Temples,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0026,"Buddhish Caves, Junagadh",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0027,"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0028,Buddhist Caves,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0029,Buddhist Caves Kanheri,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0030,"Buddhist Monuments, Sanchi",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0031,"Buddhist Remains on hill top at Guntupalli, W.G.District",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0032,Caves 1 t0 20 Udaygiri Vidisha,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0033,"Caves, Temples and inscriptions Karla",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0034,"Cave, Temple and Inscriptions, Junaar, Lenyadri",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0035,"Cave Temple & Inscriptions, Bhaja",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0036,"Champaner Monuments, Pavagadh",NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0037,Chandragiri Monument,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0038,Charminar,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0039,Chittaurgarh Fort,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0040,Cooch Bihar Palace,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0041,Dariya Daulath Bagh,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0042,Daulatabad Fort,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0043,Deeg Bhawan,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0044,Durga temple complex Aihole,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0045,Elephanta Caves,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0046,Ellora Caves,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0047,Excavated Remains at Nalanda,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0048,Excavated Remains at sarnath,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0049,Fatehpur Sikri,NULL,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,DATA NOT AVAILABLE in supplied sources.,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
