data_year,region,state_ut,domestic_visits_2023_million,foreign_visits_2023_million,domestic_visits_2024_million,foreign_visits_2024_million,domestic_growth_2024_percent,foreign_growth_2024_percent,domestic_share_2024_percent,foreign_share_2024_percent,source,unit
2024,North,Chandigarh,0.366,0.031,0.999,0.039,173.15,24.0,0.03,0.19,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,North,Delhi,39.415,1.828,46.257,1.999,17.36,9.37,1.57,9.55,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,North,Haryana,2.012,0.001,1.892,0.001,-5.96,-59.66,0.06,0.0,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,North,Himachal Pradesh,15.942,0.063,18.042,0.083,13.17,31.78,0.61,0.4,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,North,Jammu & Kashmir,20.679,0.055,23.013,0.065,11.28,18.28,0.78,0.31,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,North,Ladakh,0.4891,0.0363,0.3367,0.0397,-31.16,9.33,0.01,0.19,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,North,Punjab,35.708,0.742,27.745,0.542,-22.3,-26.96,0.94,2.59,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,North,Rajasthan,179.052,1.7,230.084,2.072,28.5,21.92,7.8,9.9,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,North,Uttar Pradesh,478.526,1.602,646.807,2.269,35.17,41.68,21.94,10.83,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,North,Uttarakhand,57.571,0.143,60.849,0.139,5.69,-2.55,2.06,0.67,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,East,Andaman & Nicobar Islands,0.323,0.009,0.71,0.011,119.81,27.39,0.02,0.05,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,East,Bihar,81.586,0.547,65.463,0.737,-19.76,34.79,2.22,3.52,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,East,Jharkhand,35.776,0.189,54.041,0.045,51.05,-76.08,1.83,0.22,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,East,Odisha,9.7252,0.0452,10.9988,0.0879,13.1,94.48,0.37,0.42,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,East,West Bengal,145.669,2.707,184.476,3.124,26.64,15.42,6.26,14.92,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,North East,Arunachal Pradesh,1.041,0.004,0.87,0.005,-16.4,4.85,0.03,0.02,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,North East,Assam,7.613,0.024,7.608,0.027,-0.06,14.07,0.26,0.13,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,North East,Manipur,0.058,0.004,0.029,0.003,-49.56,-31.35,0.0,0.01,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,North East,Meghalaya,1.403,0.02,1.586,0.023,13.04,15.24,0.05,0.11,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,North East,Mizoram,0.209,0.004,0.422,0.005,101.74,44.22,0.01,0.03,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,North East,Nagaland,0.1,0.005,0.126,0.006,25.87,19.01,0.0,0.03,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,North East,Sikkim,1.321,0.094,1.54,0.085,16.6,-9.68,0.05,0.41,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,North East,Tripura,0.366,0.067,0.601,0.091,64.07,36.15,0.02,0.43,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,West and Central,Chhattisgarh,26.022,0.001,31.488,0.003,21.0,265.69,1.07,0.02,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,West and Central,Goa,8.175,0.453,9.941,0.468,21.6,3.36,0.34,2.23,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,West and Central,Gujarat,178.067,2.807,184.014,2.274,3.34,-18.97,6.24,10.86,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,West and Central,Madhya Pradesh,111.946,0.183,133.176,0.168,18.96,-8.29,4.52,0.8,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,West and Central,Maharashtra,161.36,3.388,189.372,3.705,17.36,9.37,6.42,17.69,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,West and Central,Dadra & Nagar Haveli and Daman & Diu,1.004,0.004,1.359,0.003,35.3,-35.13,0.05,0.01,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,South,Andhra Pradesh,254.706,0.06,290.266,0.262,13.96,334.3,9.85,1.25,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,South,Karnataka,284.121,0.409,304.564,0.485,7.2,18.54,10.33,2.32,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,South,Kerala,21.872,0.649,22.247,0.738,1.72,13.76,0.75,3.53,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,South,Lakshadweep,0.046,0.001,0.067,0.001,47.24,18.94,0.0,0.0,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,South,Puducherry,2.092,0.031,2.12,0.018,1.32,-42.91,0.07,0.09,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,South,Tamil Nadu,286.012,1.175,306.842,1.161,7.28,-1.16,10.41,5.55,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
2024,South,Telangana,58.448,0.161,88.24,0.155,50.97,-3.48,2.99,0.74,"Ministry of Tourism, Government of India — India Tourism Data Compendium 2025",million tourist visits
