monument_name,city,state,latitude,longitude,domestic_visits,foreign_visits,historical_popularity,heritage_category
Taj Mahal,Agra,Uttar Pradesh,27.1751,78.0421,4429710,645415,Iconic,UNESCO World Heritage Site
Agra Fort,Agra,Uttar Pradesh,27.1795,78.0211,1627154,386522,Iconic,UNESCO World Heritage Site
Fatehpur Sikri,Fatehpur Sikri,Uttar Pradesh,27.0937,77.6613,454376,184751,Very High,UNESCO World Heritage Site
Akbar Tomb Sikandra,Agra,Uttar Pradesh,27.2137,77.9506,229270,19625,High,Tomb
Mariam tomb Sikandra,Agra,Uttar Pradesh,27.2117,77.9511,22517,414,Low,Tomb
Itimad-ud-Daulah-Tomb,Agra,Uttar Pradesh,27.1994,78.0294,132800,82692,High,Tomb
Ram Bagh,Agra,Uttar Pradesh,27.2075,78.0206,84051,355,Medium,Garden
Mehtab Bagh,Agra,Uttar Pradesh,27.1836,78.0339,178574,62325,High,Garden
Mausoleum,Agra,Uttar Pradesh,27.1995,78.0293,474462,12536,Very High,Tomb
Site of Sahet mahet,Shravasti,Uttar Pradesh,27.5079,82.0509,74597,13628,Medium,Archaeological Site
Residency Building,Lucknow,Uttar Pradesh,26.8607,80.9169,116348,3367,High,Colonial Monument
Piprahwa & Ganwaria,Siddharthnagar,Uttar Pradesh,27.4886,83.1499,38342,3098,Medium,Archaeological Site
"Gupta Temple & Varah Temple, Deogarh",Deogarh,Uttar Pradesh,24.5265,78.2382,1348,32,Low,Temple
Kalinjar Fort,Kalinjar,Uttar Pradesh,24.9575,80.488,81507,137,Medium,Fort
Rani Lakshmi Bai Mahal,Jhansi,Uttar Pradesh,25.4484,78.5685,15954,50,Low,Palace
Rani Jhansi Fort,Jhansi,Uttar Pradesh,25.4358,78.5649,361294,705,Very High,Fort
Lord Cornwallis Tomb,Ghazipur,Uttar Pradesh,25.5941,83.5772,18318,85,Low,Tomb
"Old Fort (Shahi Fort), Jaunpur",Jaunpur,Uttar Pradesh,25.7479,82.6837,198922,114,High,Fort
Observatory of Man Singh,Varanasi,Uttar Pradesh,25.3109,83.0107,83059,954,Medium,Observatory
Excavated Remains at sarnath,"Sarnath, Varanasi",Uttar Pradesh,25.381,83.023,485309,100590,Very High,UNESCO World Heritage Site
Tomb of Lal Khan,Varanasi,Uttar Pradesh,25.32,83.01,6819,9,Low,Tomb
Ancient Buddhist Site known as Chaukhandi stupa,"Sarnath, Varanasi",Uttar Pradesh,25.3781,83.0206,55144,5186,Medium,Stupa/Buddhist Site
"Bekal Fort, Pallikkare, Distt. Kasargod",Kasaragod,Kerala,12.3958,75.0329,334846,728,Very High,Fort
mattancherry Palace Museum Kochi,Kochi,Kerala,9.9585,76.2593,300465,79355,Very High,Palace
"Fort, Palakkad, Palakkad",Palakkad,Kerala,10.7867,76.6548,174589,241,High,Fort
"Fort St. Angelo, Kannur",Kannur,Kerala,11.873,75.3585,234518,3305,High,Fort
Group of Monuments Mamallapuram,Mahabalipuram,Tamil Nadu,12.6208,80.1945,1260358,53422,Iconic,UNESCO World Heritage Site
"Gingee Fort , Gingee",Gingee,Tamil Nadu,12.2542,79.4126,107073,1736,High,Fort
"Tiger headed Rock cut temple & two other monuments, Saluvankuppam",Saluvankuppam,Tamil Nadu,12.6423,80.1943,43733,1063,Medium,Temple
"Fort on Rock, Dindigual",Dindigul,Tamil Nadu,10.3624,77.9695,24657,94,Low,Fort
"Moovarkoil, Kodumbalur",Kodumbalur,Tamil Nadu,10.4667,78.6167,19114,46,Low,Temple
"Rock-cut Jain Temple, Sittannavasasl",Sittanavasal,Tamil Nadu,10.4747,78.7343,31876,188,Medium,Temple
Tirumalai Nayak's Palace Srivilliputhur,Srivilliputhur,Tamil Nadu,9.5107,77.6331,30046,460,Medium,Palace
"Natural Caven with inscription eladipattam, Sittannavasal",Sittanavasal,Tamil Nadu,10.4747,78.7343,23928,645,Low,Archaeological Site
"Fort Museum, Thirumayam",Thirumayam,Tamil Nadu,10.3167,78.7667,294829,5259,Very High,Fort
Fort Vattakottai,Vattakottai,Tamil Nadu,8.0883,77.5433,159492,340,High,Fort
Buddhist Caves,Bagh,Madhya Pradesh,22.3667,74.75,19920,42,Low,Cave Monument
"The palace situated in the fort, Burhanpur",Burhanpur,Madhya Pradesh,21.3009,76.2291,47305,272,Medium,Palace
Hoshang Shah's Tomb,Mandu,Madhya Pradesh,22.3364,75.3928,130094,2017,High,Tomb
"Group of monument, Royal Palace Mandu",Mandu,Madhya Pradesh,22.3364,75.3928,408302,2427,Very High,Palace
Roopmati's Pavilion,Mandu,Madhya Pradesh,22.3306,75.3844,392485,1884,Very High,Palace
"Buddhist Monuments, Sanchi",Sanchi,Madhya Pradesh,23.4793,77.7398,250706,3986,High,UNESCO World Heritage Site
Gwalior Fort,Gwalior,Madhya Pradesh,26.2295,78.1694,255734,7744,High,Fort
"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",Dhamnar,Madhya Pradesh,24.1667,75.35,32578,4,Medium,Cave Monument
"Badal Mahal Gatwway, Chanderi",Chanderi,Madhya Pradesh,24.7167,78.1333,13708,89,Low,Palace
Caves 1 t0 20 Udaygiri Vidisha,"Udayagiri, Vidisha",Madhya Pradesh,23.527,77.768,53546,741,Medium,Cave Monument
Bir Singh Palace Datia,Datia,Madhya Pradesh,25.6654,78.4606,23382,736,Low,Palace
"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",Hoshangabad (Narmadapuram),Madhya Pradesh,22.75,77.7167,23354,18,Low,Archaeological Site
"Western Group of Temples, Khajuraho",Khajuraho,Madhya Pradesh,24.8318,79.9199,244995,41741,Very High,UNESCO World Heritage Site
"Group of Temple Parameshvar shiv and Karan Temple, Amarkantak",Amarkantak,Madhya Pradesh,22.6742,81.755,57408,42,Medium,Temple
Durga temple complex Aihole,Aihole,Karnataka,16.0217,75.8811,186767,3849,High,Temple
"Jaina & Vaishnava Cave, Badami",Badami,Karnataka,15.9149,75.6767,372051,6758,Very High,Cave Monument
Group of Monuments (WH) Pattadakal,Pattadakal,Karnataka,15.9485,75.8161,262144,4310,High,UNESCO World Heritage Site
"Gol Gumbaz, Vijayapura",Vijayapura (Bijapur),Karnataka,16.8302,75.71,813943,1683,Iconic,Tomb
"Ibrahim Rauza, Bijapur",Vijayapura (Bijapur),Karnataka,16.828,75.6975,155565,1290,High,Tomb
"Temples & Sculpture Shed, lakkumdi",Lakkundi,Karnataka,15.3705,75.708,13019,91,Low,Temple
"Group of Monuments, Hampi",Hampi,Karnataka,15.335,76.46,587238,27006,Very High,UNESCO World Heritage Site
Bellary Fort,Ballari,Karnataka,15.1394,76.9214,28723,56,Medium,Fort
Dariya Daulath Bagh,Srirangapatna,Karnataka,12.4222,76.6975,646560,14016,Very High,Palace
Keshava Temple,Somanathapura,Karnataka,12.2751,76.8763,178425,8653,High,Temple
Palace of Tipu Sultan,Bengaluru,Karnataka,12.9591,77.5746,256964,10719,Very High,Palace
Fortress and Temple Chitrudurga Fort,Chitradurga,Karnataka,14.2308,76.4173,338340,1095,Very High,Fort
Cooch Bihar Palace,Cooch Behar,West Bengal,26.32,89.44,465553,52,Very High,Palace
Hazarduari Palace,Murshidabad,West Bengal,24.1833,88.2667,674113,1723,Very High,Palace
Bishnupur Temples,Bishnupur,West Bengal,23.0745,87.3119,154986,505,High,Temple
Metcelf-Hall,Kolkata,West Bengal,22.5697,88.3453,605,27,Low,Colonial Monument
"Asokan Rock Edict, Jungadh",Junagadh,Gujarat,21.5222,70.4579,6176,168,Low,Archaeological Site
"Buddhish Caves, Junagadh",Junagadh,Gujarat,21.5175,70.465,18755,796,Low,Cave Monument
"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",Junagadh,Gujarat,21.52,70.47,5858,142,Low,Cave Monument
"Champaner Monuments, Pavagadh",Champaner,Gujarat,22.487,73.537,59402,1948,Medium,UNESCO World Heritage Site
"Sun temple, Modhera",Modhera,Gujarat,23.5859,72.1258,208028,3732,High,Temple
"Rani Ki-Vav, Patan",Patan,Gujarat,23.8595,72.1023,337134,3816,Very High,UNESCO World Heritage Site
"Rudabai Step Well, Adalaj",Adalaj,Gujarat,23.1667,72.5833,388042,7907,Very High,Stepwell
"Sun Temple, Konark",Konark,Odisha,19.8876,86.0945,1997427,5294,Iconic,UNESCO World Heritage Site
Ancient Remains on both Udaigiri & Khandagiri Hills,Bhubaneswar,Odisha,20.2596,85.783,311115,2489,Very High,Cave Monument
Rajarani Temple,Bhubaneswar,Odisha,20.2663,85.8383,16916,506,Low,Temple
