Sl. No.,Country/Territory,Arrivals (In Numbers),North (In Percentage),South (In Percentage),West and Central (In Percentage),East (In Percentage),North East (In Percentage)
1,Africa,338605,33.08,17.24,48.74,0.94,0.01
2,North Africa,28826,29.87,42.23,23.91,3.95,0.05
3,Algeria,2522,41.24,29.38,22.6,6.78,0
4,Morocco,9831,31.92,44.65,18.02,5.27,0.13
5,Sudan,10887,27.6,37.7,34.47,0.23,0
6,Tunisia,5586,25.53,52.58,14.29,7.61,0
7,Sub-Saharan Africa,309779,33.37,14.92,51.05,0.66,0
8,Angola,1202,35.94,23.21,40.27,0.58,0
9,Benin,436,51.38,8.03,40.14,0.46,0
10,Botswana,1275,41.02,16.63,41.33,1.02,0
11,Burkina Faso,659,57.81,7.44,34.45,0.3,0
12,Burundi,341,32.84,15.25,51.32,0.59,0
13,Cameroon,4322,52.85,11.36,35.56,0.23,0
14,Cabo Verde,39,66.67,17.95,15.38,0,0
15,Centr. African rep.,24,58.33,8.33,33.33,0,0
16,Chad,1438,59.81,17.32,22.81,0.07,0
17,Congo,431,59.4,9.74,30.63,0.23,0
18,Comoros,1517,12.85,21.89,65.13,0.13,0
19,Cote d'lvoire,1660,40.12,14.4,44.28,1.2,0
20,Dem.rep. Congo,3952,60.96,8.65,30.19,0.2,0
21,Djibouti,1008,40.38,31.45,28.08,0.1,0
22,Equatorial Guinea,92,59.78,16.3,21.74,2.17,0
23,Eritrea,407,57,21.87,21.13,0,0
24,Ethiopia,32391,45.72,15.68,38.5,0.1,0
25,Eswatini,740,27.97,10.81,60.95,0.27,0
26,Gabon,158,50.63,15.82,33.54,0,0
27,Gambia,700,60.57,6.43,32.71,0.29,0
28,Ghana,6049,49.07,14.56,34.02,2.35,0
29,Guinea,1256,49.76,8.28,41.64,0.32,0
30,Guinea-Bissau,24,50,20.83,29.17,0,0
31,Kenya,52294,27.68,7.08,64.79,0.45,0
32,Lesotho,750,36.8,10,52.8,0.4,0
33,Liberia,1699,44.44,3.65,51.85,0.06,0
34,Madagascar,3578,12.74,3.75,83.29,0.22,0
35,Malawi,2441,39.98,8.28,51.7,0.04,0
36,Mali,869,42.35,10.24,46.49,0.92,0
37,Mauritania,182,30.77,25.27,43.41,0.55,0
38,Mauritius,48683,30.56,14.54,54.36,0.55,0
39,Mozambique,5741,30.62,9.98,59.29,0.1,0
40,Namibia,737,46.13,17.5,35.14,1.22,0
41,Niger,709,47.53,4.65,47.67,0.14,0
42,Nigeria,10059,53.37,13.68,32.72,0.24,0
43,Reunion,8,0,25,75,0,0
44,Rwanda,1890,47.04,14.55,37.78,0.63,0
45,Sap Tome & Principe,38,84.21,2.63,13.16,0,0
46,Senegal,2008,33.96,15.94,49.3,0.8,0
47,Seychelles,3733,6.7,69.25,23.23,0.83,0
48,Sierra Leone,731,39.53,10.26,49.79,0.41,0
49,Somalia,12320,50.15,32.13,17.72,0,0
50,South Africa,44168,27.38,22.79,47.47,2.35,0.01
51,South Sudan,2466,60.46,16.67,22.87,0,0
52,Tanzania,30730,18.83,9.66,71.32,0.19,0
53,Togo,503,60.24,13.72,26.04,0,0
54,Uganda,11711,21.06,14.7,64.08,0.17,0
55,Zambia,4762,29.23,12.83,57.71,0.23,0
56,Zimbabwe,6848,48.07,9.86,41.56,0.51,0
57,Americas,2372058,42.36,30.92,24.92,1.78,0.02
58,Caribbean,8925,45.88,17.73,33.93,2.44,0.02
59,Anguilla,4,75,0,25,0,0
60,Antigua & Barbuda,427,44.5,20.61,30.91,3.98,0
61,Aruba,4,50,50,0,0,0
62,Bahamas,195,56.92,21.54,18.46,2.56,0.51
63,Barbados,730,14.52,8.49,76.03,0.82,0.14
64,Brit. Virgin Islands,4,100,0,0,0,0
65,Cayman Islands,20,55,5,40,0,0
66,Cuba,382,62.3,14.92,18.32,4.45,0
67,Dominica,843,52.55,14.59,29.77,3.08,0
68,Dominican Rep.,501,62.67,8.78,27.15,1.4,0
69,Grenada,972,35.08,12.65,49.18,3.09,0
70,Haiti,63,52.38,14.29,33.33,0,0
71,Jamaica,1021,34.28,31.15,31.24,3.33,0
72,Neth. Antilles,6,50,16.67,0,33.33,0
73,Saint Lucia,264,22.35,28.03,48.11,1.52,0
74,St. Kitts & Nevis,1188,44.53,20.79,32.58,2.1,0
75,St. Vincent & Gren.,59,44.07,30.51,25.42,0,0
76,Trinidad & Tobago,2238,59.43,16.67,21.89,2.01,0
77,Turks & Caicos,4,50,0,50,0,0
78,Central America,5905,48.35,18.36,31.69,1.61,0
79,Belize,515,43.88,11.65,43.11,1.36,0
80,Costa Rica,1784,59.42,26.91,11.43,2.24,0
81,El Salvador,455,51.43,30.99,14.51,3.08,0
82,Guatemala,823,68.29,12.52,18.1,1.09,0
83,Honduras,568,41.9,24.65,31.69,1.76,0
84,Nicaragua,174,56.9,16.09,24.71,2.3,0
85,Panama,1586,27.49,8.32,63.49,0.69,0
86,North America,2299267,41.92,31.28,25.02,1.77,0.02
87,Canada,476273,59.61,19.01,19.83,1.54,0.01
88,Mexico,18408,66.97,16.89,14.61,1.47,0.05
89,United States,1804586,36.99,34.67,26.49,1.83,0.02
90,South America,57961,59.03,19.74,18.91,2.29,0.02
91,Argentina,9638,68.12,15.99,13.93,1.96,0
92,Bolivia,684,56.43,24.27,16.08,3.22,0
93,Brazil,24782,52.6,24.24,20.6,2.53,0.03
94,Chile,5442,64.41,14.22,19.22,2.09,0.06
95,Colombia,7639,56.88,19.3,21.43,2.4,0
96,Ecuador,1484,68.19,15.63,14.69,1.48,0
97,Guyana,790,59.87,10.51,27.97,1.65,0
98,Paraguay,322,50.62,20.19,18.94,10.25,0
99,Peru,3685,65.37,16.2,16.31,2.06,0.05
100,Suriname,568,69.89,7.57,22.18,0.35,0
101,Uruguay,1524,75.26,11.81,11.68,1.25,0
102,Venezuela,1403,55.24,20.03,22.52,2.21,0
103,Asia and the Pacific,4279663,26.5,25.24,8.18,36.44,3.64
104,North-East Asia,395930,58.85,25.06,13.79,2.23,0.07
105,China,38960,44.58,28.66,24.57,2.17,0.02
106,Hong Kong (China),719,86.37,9.32,3.2,1.11,0
107,Japan,194875,62.02,21.61,14.23,2.04,0.1
108,Korea (DPRK),125,28.8,70.4,0,0.8,0
109,Korea (ROK),112924,61.11,27.68,9.41,1.74,0.07
110,Macao (China),6,83.33,16.67,0,0,0
111,Mongolia,3911,79.11,13.81,4.47,2.61,0
112,Taiwan (pr. Of China),42598,48.3,31.94,15.16,4.55,0.04
113,Tibet,1812,78.04,21.69,0.22,0.06,0
114,Oceania,606711,43.71,35.34,18.69,2.23,0.02
115,American Samoa,7,28.57,57.14,14.29,0,0
116,Australia,518205,43.1,36.55,18,2.32,0.03
117,Cook Islands,2,50,50,0,0,0
118,Fiji,5229,57.01,19.7,21.9,1.4,0
119,French Polynesia,4,100,0,0,0,0
120,Kiribati,162,91.98,4.94,3.09,0,0
121,Marshall Islands,13,69.23,0,30.77,0,0
122,Micronesia FSM,47,95.74,0,2.13,2.13,0
123,Nauru,144,98.61,1.39,0,0,0
124,New Caledonia,3,100,0,0,0,0
125,New Zealand,81115,46.37,28.9,22.95,1.77,0.01
126,Palau,8,87.5,0,12.5,0,0
127,Papua New Guinea,685,42.19,35.18,20.44,2.19,0
128,Samoa,149,17.45,79.87,2.68,0,0
129,Solomon Islands,50,80,20,0,0,0
130,Tonga,134,39.55,54.48,5.97,0,0
131,Tuvalu,159,91.82,6.29,1.89,0,0
132,Vanuatu,595,58.99,10.59,28.74,1.68,0
133,South Asia,2409812,15.09,15.94,2.57,59.99,6.42
134,Afghanistan,1253,87.15,3.83,8.54,0.4,0.08
135,Bangladesh,1750165,4.95,5.28,0.66,80.37,8.74
136,Bhutan,41265,46.92,1.29,0.9,49.85,1.04
137,Iran,21406,61.26,11.39,26.83,0.52,0
138,Maldives,84770,2.38,93.23,4.36,0.03,0
139,Nepal,202501,73.69,5.74,11.25,8.7,0.61
140,Pakistan,26625,96.72,0.37,2.9,0,0
141,Sri Lanka,281827,23.56,70.24,5.98,0.21,0
142,South-East Asia,867210,31.41,44.1,13.86,10.53,0.1
143,Brunei,863,26.77,59.33,12.28,1.51,0.12
144,Cambodia,11326,71.77,3.73,10.11,14.29,0.09
145,Indonesia,39227,39.02,29.59,27.34,3.95,0.11
146,Laos,2997,50.02,8.48,4.1,36.97,0.43
147,Malaysia,307526,22.24,66.54,8.85,2.29,0.08
148,Myanmar,47588,44.27,11.61,3.95,40.04,0.13
149,Philippines,57542,28.22,39.74,27.67,4.34,0.05
