circle,monument_name,domestic_2019_20,foreign_2019_20,domestic_2020_21,foreign_2020_21,domestic_growth_pct,foreign_growth_pct,total_visitors_2019_20,total_visitors_2020_21,total_growth_pct,monument_hiddenness_score,visitor_data_quality,hiddenness_rank,tourism_hiddenness_score,unesco_match,unesco_match_flag,unesco_significance_score,asi_protection_score,visitor_trend_score,hidden_heritage_score_v2,hidden_heritage_rank,heritage_signal,recommendation_reason,ml_hidden_heritage_prediction,ml_rank,asi_name,matched_poi_name,match_type,match_confidence,latitude,longitude,poi_characteristics,poi_source,has_geo_match,high_confidence_geo_match
Sarnath,Ancient Buddhist Site known as Chaukhandi stupa,55144,5186,14956,46,-72.88,-99.11,60330,15002,-75.13343278634179,58.46,available,46,58.46,Ancient Buddhist Site of Sarnath,1,100.0,100.0,60.0,75.15,1,UNESCO + ASI protected,High heritage protection with comparatively low visitor demand,71.57,2,Ancient Buddhist Site known as Chaukhandi stupa,,unmatched,0.0,,,,,False,False
Vadodara,"Champaner Monuments, Pavagadh",59402,1948,39014,81,-34.32,-95.84,61350,39095,-36.27546862265689,58.31,available,47,58.31,Champaner-Pavagadh Archaeological Park,1,100.0,100.0,60.0,75.07,2,UNESCO + ASI protected,High heritage protection with comparatively low visitor demand,72.1,1,"Champaner Monuments, Pavagadh",,unmatched,0.0,,,,,False,False
Delhi,Sultanghari Tomb,530,6,22969,233,4233.77,3783.33,536,23202,4228.731343283583,100.0,available,1,100.0,,0,0.0,100.0,40.0,72.0,3,ASI protected,High heritage protection with comparatively low visitor demand,68.79,5,Sultanghari Tomb,,unmatched,0.0,,,,,False,False
Kolkata,Metcelf-Hall,605,27,7818,24,1192.23,-11.11,632,7842,1140.822784810127,98.55,available,2,98.55,,0,0.0,100.0,40.0,71.2,4,ASI protected,High heritage protection with comparatively low visitor demand,68.79,5,Metcelf-Hall,,unmatched,0.0,,,,,False,False
Dharwad,Durga temple complex Aihole,186767,3849,75089,99,-59.8,-97.43,190616,75188,-60.55525244470559,48.34,available,83,48.34,Mahabodhi Temple Complex at Bodh Gaya,1,100.0,100.0,60.0,69.59,5,UNESCO + ASI protected,High heritage protection with comparatively low visitor demand,69.9,3,Durga temple complex Aihole,,unmatched,0.0,,,,,False,False
Delhi,Jantar Mantar,203197,6516,76108,230,-62.54,-96.47,209713,76338,-63.59882315354795,47.5,available,88,47.5,"The Jantar Mantar, Jaipur",1,100.0,100.0,60.0,69.12,6,UNESCO + ASI protected,High heritage protection with comparatively low visitor demand,69.32,4,Jantar Mantar,"Jantar Mantar, Delhi",fuzzy,0.88,28.627120596810663,77.21661596705638,,Destinations_delhi.csv,True,True
Jhansi,"Gupta Temple & Varah Temple, Deogarh",1348,32,931,0,-30.93,-100.0,1380,931,-32.53623188405797,91.69,available,3,91.69,,0,0.0,100.0,60.0,68.43,7,ASI protected,High heritage protection with comparatively low visitor demand,67.81,9,"Gupta Temple & Varah Temple, Deogarh",,unmatched,0.0,,,,,False,False
Bhopal,"Buddhist Monuments, Sanchi",250706,3986,58979,41,-76.47,-98.97,254692,59020,-76.82691250608579,45.79,available,99,45.79,Buddhist Monuments at Sanchi,1,100.0,100.0,60.0,68.18,8,UNESCO + ASI protected,High heritage protection with comparatively low visitor demand,68.23,7,"Buddhist Monuments, Sanchi",,unmatched,0.0,,,,,False,False
Dharwad,Group of Monuments (WH) Pattadakal,262144,4310,123110,61,-53.04,-98.58,266454,123171,-53.77400977279381,45.39,available,101,45.39,Group of Monuments at Pattadakal,1,100.0,100.0,60.0,67.96,9,UNESCO + ASI protected,High heritage protection with comparatively low visitor demand,67.75,10,Group of Monuments (WH) Pattadakal,,unmatched,0.0,,,,,False,False
Jabalpur,"Western Group of Temples, Khajuraho",244995,41741,128515,275,-47.54,-99.34,286736,128790,-55.08411918977736,44.74,available,103,44.74,Khajuraho Group of Monuments,1,100.0,100.0,60.0,67.61,10,UNESCO + ASI protected,High heritage protection with comparatively low visitor demand,67.23,13,"Western Group of Temples, Khajuraho",,unmatched,0.0,,,,,False,False
